id,productName,quantity,price,vatPercentage
1,HRIDYAMRITY VATI 20 GM,1,100,5
2,DIVYA CHURAN 100 GM,1,50,5
3,ABHAYARISHTA 450 ML,1,60,5
4,AMAL CHURAN 100 GM,1,20,5
5,ARSHKALP VATI 40 GM,1,60,5
6,ARVINDASAVA 225 ML,1,55,5
7,ASHOKARISHTA 450 ML,1,60,5
8,ASHVASHILA CAP.,1,70,5
9,ASHWAGANDHHA CHURAN 100 GM,1,40,5
10,BAHDA CHURNA 25 GM,1,15,5
11,CHANDRAPRABHA VATI,1,70,5
12,GASHAR CHURAN 100 GM,1,40,5
13,GILOY GHAN VATI 40 GM,1,90,5
14,ISABGOL BHUSI 100 GM ,1,48,5
15,KANTI LEP 100 GM,1,60,5
16,KAYAKALP VATI 20 GM,1,70,5
17,KUTJARISHTA 450ML ,1,60,5
18,LAVANBHASKER CHURNA 100GM ,1,45,5
19,LOHASAVA 450ML,1,60,5
20,MADHUNASHINI VATI 60GM,1,190,5
21,MAHAMANJISTHARISTH 450ML,1,60,5
22,MAHAVAT VIDHAWANSHAN RAS 10 GM,1,60,5
23,MAHAYOGRAJ GUGUL 40GM,1,110,5
24,MAKAR DHAWAJ 2GM,1,80,5
25,MANDOOR BHASM 5GM,1,10,5
26,MEDHA VATI 40GM,1,160,5
27,MEDHA VATI 20GM,1,80,5
28,MEDOHAR VATI 50GM,1,80,5
29,MUKTA SUKTI 10GM,1,30,5
30,MUKTA PISTI 2GM,1,60,5
31,MUKTA VATI 36GM,1,190,5
32,PATRANGASAVA 450ML,1,85,5
33,PEEDANTAK KWATH 100GM,1,25,5
34,PEEDANTAK VATI 40GM,1,90,5
35,PARWAL PISHTI 10GM,1,40,5
36,PUNARWADI MANDOOR 40GM,1,60,5
37,PUNARNAVA RISHTA 450ML,1,60,5
38,RAS SINDOOR 1GM ,1,15,5
39,RAS MANIKYA 1GM,1,10,5
40,SHATAVAR CHURNA 100GM ,1,90,5
41,SHILAJEEJ RASAYAN VATI 40GM,1,60,5
42,SHILA SINDOOR 1 GM ,1,25,5
43,SHUDH SHILAJEET 20 GM,1,100,5
44,SHWET MUSLI CHUAN,1,190,5
45,SHWET PARPATI 5 GM ,1,10,5
46,SITOPALADI CHURNA 25GM,1,25,5
47,STRI RASAYAN VATI 40GM,1,80,5
48,TAMAR BHASMA 1GM,1,7,5
49,TRIPHALA CHURNA 100GM ,1,25,5
50,TRIPHALA GUGUL 40GM,1,60,5
51,TRIYODASANG GUGGUL 40GM,1,60,5
52,UDARKALP CHURNA 100GM,1,40,5
53,USIRASAVA 450ML,1,65,5
54,BANG BHASMA 5GM,1,25,5
55,VASANT KUSMAKAR RAS 1GM,1,350,5
56,VATRI CHURNA 100GM,1,55,5
57,VISTINDUK VATI 20GM,1,50,5
58,VRAHATVAT CHINTAMANI RAS 1GM,1,475,5
59,VRIDHIVADHIKA VATI 40GM,1,80,5
60,VRIKDOSHHAR KWATH 100GM,1,25,5
61,VRIKDOSHHAR VATI 40GM,1,50,5
62,GODHAN ARK 450ML,1,40,0
63,ABHRAK BHASMA 5GM,1,13,5
64,AJMODADI CHURNA 100GM ,1,50,5
65,BILVADI CHURNA 100GM,1,30,5
66,CHITRAKADI VATI 20GM,1,40,5
67,DASHMULARISHTA 450ML,1,85,5
68,GILOY SATVA 10GM,1,30,5
69,GODANTI BHASMA 10GM,1,10,5
70,GOKSHRADI GUGGUL 40GM,1,60,5
71,KAYAKALP KWATH-1 00 GM,1,35,5
72,KUMARIYASAVA 450 ML,1,60,5
73,RAJ PRAVARTANI VATI 20 GM,1,50,5
74,SWARN VASANTMALTI RAS 1GM,1,300,5
75,SWAARI RAS 10 GM,1,15,5
76,TRIBHUVANKIRTI RAS,1,50,5
77,TULSI GHAN VATI 40 GM,1,90,5
78,UDRAMRIT VATI 4O GM ,1,50,5
79,YOVNAMRIT VATI 5GM,1,210,5
80,NIMB GHAN VATI 4O GM,1,90,5
81,HING PEDA 200 GM,1,55,5
82,SHOODHIT HARAD 100 GM,1,30,5
83,AMLA PICKLE 1 KG.,1,95,5
84,PEEDANTAK TAILA 100 ML,1,60,5
85,PUNARNAVADI MANDOOR,1,60,5
86,PUSHYANUG CHURNA 100GM ,1,55,5
87,PUTRAJEEVAK SEED 100GM,1,55,5
88,SAPTAAMRIT LAUH 10GM,1,20,5
89,SFATIKA BHASMA 5GM,1,10,5
90,SHIVLINGI BEEJ 100GM,1,35,5
91,SINGHNAAD GUGGUL40GM,1,60,5
92,SWITRANGHAN LEP 100GM,1,30,5
93,TRIVANG BHASMA 5GM,1,25,5
94,UDARAMRIT VATI 40GM,1,50,5
95,AAMVATARI RAS 20GM,1,35,5
96,CHYWANPRASH 1KG,1,225,5
97,AMLA MURRABA 1KG,1,110,5
98,ARJUN KWATH 100GM,1,15,5
99,ASHMARIHAR RAS 50GM,1,60,5
100,ASHWAGANDHARISTHA 450ML,1,80,5
101,BAKUCHI CHURNA 50GM,1,20,5
102,CUMIN SEEDS [JEERA],1,35,5
103,HARIDRA KHAND 100GM,1,70,5
104,HARITKI CHURNA 100GM,1,25,5
105,JWARNASHAK KWATH 100GM,1,30,5
106,JWARNASHAK VATI 20GM,1,40,5
107,KASOR GUGGUL,1,40,5
108,ZASOR GUGGUL,1,40,5
